x,quality,dead,toolate,makespan
0, 25083,10,2,1564
1, 24998,10,2,1433
2, 22232,11,3,1369
3, 22232,12,1,1866
4, 22232,9,2,1333
5, 22099,11,2,1292
6, 22099,9,2,1232
7, 22099,8,3,1224
8, 22063,7,3,1233
9, 22063,8,2,1253
10, 21964,10,2,1359
11, 21964,10,3,1267
12, 21964,10,2,1253
13, 21964,9,3,1257
14, 21964,8,2,1334
15, 21926,8,4,1201
16, 21876,8,2,1196
17, 21876,8,3,1157
18, 21876,8,3,1157
19, 21876,8,2,1239
20, 21876,8,3,1157
21, 19126,8,3,1157
22, 19126,8,3,1157
23, 19126,10,3,1514
24, 19116,9,2,1467
25, 19063,11,2,1393
26, 19063,8,2,1392
27, 19063,11,2,1557
28, 19063,7,3,1172
29, 19063,9,2,1401
30, 19063,8,4,1280
31, 19063,9,3,1474
32, 19063,8,4,1301
33, 19063,7,3,1227
34, 19063,7,3,1126
35, 19063,7,3,1182
36, 19063,7,3,1117
37, 19063,7,3,1237
38, 19027,7,3,1227
39, 19027,7,3,1132
40, 19027,7,3,1227
41, 19027,7,3,1227
42, 19027,7,3,1227
43, 19027,7,3,1227
44, 19027,7,3,1237
45, 19027,7,3,1227
46, 19027,7,3,1237
47, 19027,7,3,1237
48, 19011,7,3,1126
49, 19011,7,3,1227
50, 19011,7,3,1117
51, 19011,7,3,1237
52, 19011,7,3,1237
53, 19011,7,3,1327
54, 19011,7,3,1227
55, 19011,7,3,1315
56, 19011,7,3,1329
57, 19011,7,3,1237
58, 19007,7,3,1237
59, 19007,7,3,1205
60, 19007,7,3,1329
61, 19007,7,3,1237
62, 18997,7,3,1237
63, 18997,7,3,1237
64, 18997,7,3,1237
65, 18952,7,3,1227
66, 18952,7,3,1227
67, 18952,7,3,1227
68, 18952,7,3,1205
69, 18952,7,3,1275
70, 18952,7,3,1205
71, 18947,7,2,1217
72, 18930,7,3,1227
73, 18930,7,3,1205
74, 18930,7,3,1227
75, 18930,7,3,1237
76, 18930,7,3,1227
77, 18930,7,3,1137
78, 18930,7,3,1227
79, 18930,7,3,1227
80, 18930,7,3,1227
81, 18930,7,3,1227
82, 18897,7,3,1237
83, 18897,7,3,1237
84, 18897,7,3,1237
85, 18897,7,3,1137
86, 18897,7,3,1137
87, 18897,7,3,1237
88, 18897,7,3,1237
89, 18897,7,3,1397
90, 18897,7,3,1151
91, 18897,7,3,1387
92, 18897,7,3,1227
93, 18897,7,3,1387
94, 18897,7,3,1397
95, 18897,7,3,1233
96, 18897,7,3,1237
97, 18897,7,3,1155
98, 18897,7,3,1387
99, 18897,7,3,1297
100, 18897,7,3,1287
101, 18897,7,3,1387
102, 18820,7,3,1387
103, 18820,7,3,1387
104, 18820,7,3,1387
105, 18820,7,3,1387
106, 18820,7,3,1297
107, 18820,7,3,1387
108, 18820,7,3,1387
109, 18820,7,3,1387
110, 18820,7,3,1387
111, 18820,7,3,1387
112, 18820,7,3,1387
113, 18820,7,3,1387
114, 18820,7,3,1387
115, 18820,7,3,1387
116, 18820,7,3,1343
117, 18820,7,3,1387
118, 18820,7,3,1387
119, 18820,7,3,1387
120, 18820,7,3,1387
121, 18820,7,3,1387
122, 18777,7,3,1387
123, 18777,7,3,1387
124, 18777,7,3,1387
125, 18777,7,3,1397
126, 18777,7,3,1387
127, 18777,7,3,1387
128, 18777,7,3,1387
129, 18777,7,3,1387
130, 18777,7,3,1387
131, 18777,7,3,1387
132, 18777,7,3,1387
133, 18777,7,3,1387
134, 18777,7,3,1387
135, 18777,7,3,1387
136, 18777,7,3,1387
137, 18777,7,3,1387
138, 18777,7,3,1387
139, 18777,7,3,1387
140, 18777,7,3,1387
141, 18777,7,3,1387
142, 18777,7,3,1387
143, 18777,7,3,1387
144, 18777,7,3,1387
145, 18777,7,3,1237
146, 18777,7,3,1387
147, 18777,7,3,1387
148, 18767,7,3,1387
149, 18767,7,3,1387
150, 18767,7,3,1387
151, 18767,7,3,1387
152, 18767,7,3,1387
153, 18767,7,3,1387
154, 18767,7,3,1387
155, 18767,7,3,1387
156, 18767,7,3,1387
157, 18767,7,3,1387
158, 18767,7,3,1387
159, 18767,7,3,1387
160, 18767,7,3,1387
161, 18767,7,3,1387
162, 18767,7,3,1387
163, 18767,7,3,1387
164, 18767,7,3,1387
165, 18767,7,3,1387
166, 18758,7,3,1387
167, 18758,8,3,1387
168, 18758,7,3,1387
169, 18758,7,3,1387
170, 18758,7,3,1387
171, 18758,7,3,1387
172, 18758,7,3,1387
173, 18758,7,3,1387
174, 18758,7,3,1387
175, 18758,7,3,1387
176, 18758,7,3,1387
177, 18758,7,3,1387
178, 18758,7,3,1387
179, 18758,7,3,1387
180, 18758,7,3,1387
181, 18758,7,3,1387
182, 18758,7,3,1287
183, 18758,7,3,1387
184, 18758,7,2,1175
185, 18758,7,2,1314
186, 18758,7,3,1335
187, 18758,7,3,1387
188, 18758,7,2,1314
189, 18758,7,2,1314
190, 18758,7,2,1356
191, 18758,7,2,1206
192, 18758,7,2,1314
193, 18758,7,1,1231
194, 18758,7,2,1314
195, 18747,7,2,1314
196, 18747,7,2,1314
197, 18747,7,2,1314
198, 18747,7,2,1314
199, 18747,7,2,1314
200, 18747,7,2,1314
201, 18747,7,2,1224
202, 18747,7,2,1314
203, 18747,7,2,1314
204, 18747,7,2,1314
205, 18747,7,2,1314
206, 18747,7,2,1314
207, 18747,7,2,1314
208, 18747,7,2,1211
209, 18747,7,2,1314
210, 18747,7,2,1211
211, 18747,7,2,1314
212, 18747,7,2,1314
213, 18747,7,2,1314
214, 18747,7,2,1314
215, 18747,7,2,1314
216, 18747,7,2,1314
217, 18711,7,2,1314
218, 18711,7,2,1314
219, 18711,7,2,1314
220, 18711,7,2,1314
221, 18711,7,2,1314
222, 18711,7,2,1314
223, 18711,7,2,1314
224, 18711,7,2,1314
225, 18711,7,2,1314
226, 18711,7,2,1314
227, 18711,7,1,1328
228, 18711,7,2,1314
229, 18711,7,2,1314
230, 18711,7,2,1314
231, 18711,7,1,1328
232, 18711,7,1,1328
233, 18711,7,1,1328
234, 18711,7,1,1246
235, 18711,7,1,1414
236, 18711,7,2,1314
237, 18711,7,1,1328
238, 18711,7,1,1328
239, 18711,7,1,1328
240, 18711,7,1,1246
241, 18711,7,1,1328
242, 18711,7,1,1328
243, 18711,7,1,1328
244, 18711,7,1,1328
245, 18711,7,1,1328
246, 18711,7,1,1328
247, 18711,7,1,1328
248, 18711,7,1,1328
249, 18711,7,1,1328
250, 18711,7,1,1328
251, 18711,7,1,1328
252, 18711,7,1,1328
253, 18711,7,1,1328
254, 18711,7,1,1328
255, 18711,7,1,1328
256, 18711,7,1,1328
257, 18711,7,1,1328
258, 18711,7,1,1328
259, 18711,7,1,1328
260, 18711,7,1,1328
261, 18711,7,1,1328
262, 18711,7,1,1328
263, 18711,7,1,1328
264, 18711,7,1,1328
265, 18711,7,1,1328
266, 18711,7,1,1328
267, 18711,7,1,1328
268, 18711,7,1,1328
269, 18711,7,1,1328
270, 18711,7,1,1328
271, 18711,7,1,1328
272, 18711,7,2,1328
273, 18711,7,1,1328
274, 18711,7,1,1328
275, 18711,7,1,1328
276, 18711,7,1,1328
277, 18711,7,1,1328
278, 18711,7,1,1328
279, 18711,7,1,1328
280, 18711,7,1,1328
281, 18711,7,2,1268
282, 18711,7,1,1268
283, 18711,7,1,1328
284, 18711,7,1,1328
285, 18711,7,1,1328
286, 18711,7,2,1328
287, 18711,7,2,1268
288, 18711,7,1,1268
289, 18711,7,2,1268
290, 18711,7,1,1328
291, 18711,7,1,1328
292, 18711,7,2,1328
293, 18711,7,2,1268
294, 18711,7,1,1328
295, 18711,7,1,1268
296, 18711,7,1,1268
297, 18711,7,1,1328
298, 18711,7,1,1328
299, 18711,7,1,1328
300, 18711,7,1,1328
301, 18711,7,1,1328
302, 18711,7,1,1328
303, 18711,7,1,1328
304, 18711,7,1,1328
305, 18711,7,1,1268
306, 18711,7,1,1328
307, 18711,7,1,1328
308, 18711,7,1,1328
309, 18711,7,1,1328
310, 18711,7,1,1328
311, 18711,7,1,1328
312, 18711,7,1,1328
313, 18711,7,1,1328
314, 18711,7,1,1328
315, 18711,7,1,1328
316, 18711,7,2,1268
317, 18711,7,1,1328
318, 18711,7,1,1337
319, 18711,7,1,1328
320, 18711,7,1,1328
321, 18711,7,1,1328
322, 18711,7,1,1328
323, 18711,7,1,1337
324, 18711,7,1,1328
325, 18711,7,1,1328
326, 18711,7,1,1209
327, 18711,7,1,1328
328, 18711,7,1,1268
329, 18711,7,1,1328
